4E9C (亜): アジア,次のランク,後に来ます,〜の特徴を持つ | Asia,rank next,come after,-ous
5B8C (完): パーフェクト,完了,終わり | perfect,completion,end
5B98 (官): 官僚,政府,器官 | bureaucrat,the government,organ
5BDB (寛): トレラント,寛大,寛大さ,リラックス,くつろぐ,楽になる,心の広い | tolerant,leniency,generosity,relax,feel at home,be at ease,broadminded
5E72 (干): ドライ,パッチ,引き潮,退く,干渉する,仲裁する | dry,parch,ebb,recede,interfere,intercede
5E79 (幹): 木の幹 | tree trunk
60A3 (患): 苦しめ,疾患,苦しむ,病む | afflicted,disease,suffer from,be ill
611F (感): 感情,感じ,感覚 | emotion,feeling,sensation
6163 (慣): 慣れて,慣れます,経験豊富になる | accustomed,get used to,become experienced
61BE (憾): 自責の念,後悔,残念 | remorse,regret,be sorry
63DB (換): 交換,期間,変化する,変換,置き換える,更新する | interchange,period,change,convert,replace,renew
6562 (敢): 大胆,勇敢な,大胆な,悲しい,悲劇的な,哀れな | daring,brave,bold,sad,tragic,pitiful
67D1 (柑): 柑橘類,オレンジ | citrus,orange
6853 (桓): マーキングポスト | marking post
68FA (棺): 棺,キャスケット | coffin,casket
6B3E (款): のれん,記事,セクション,友情,共謀 | goodwill,article,section,friendship,collusion
6B53 (歓): 喜び,喜び | delight,joy
6C57 (汗): 汗,汗をかく | sweat,perspire
6F22 (漢): Sino-,中国 | Sino-,China
6F97 (澗): 谷川,10 ** 36 | valley river,10**36
6F45 (潅): 注ぐ,かんがいする,（涙を流する,流れ込む,集中する | pour into,irrigate,shed (tears,flow into,concentrate on
74B0 (環): リング,サークル,リンク,ホイール | ring,circle,link,wheel
7518 (甘): 甘い,同軸ケーブル,甘やかす,満足しています,甘い | sweet,coax,pamper,be content,sugary
76E3 (監): 監督する,公式,ガバメントオフィス,ルール,管理する | oversee,official,govt office,rule,administer
770B (看): 見守る,見る | watch over,see
7AFF (竿): ポール,ロッド,スケールビーム,棹 | pole,rod,scale beam,violin neck
7BA1 (管): パイプ,チューブ,管楽器,酔っ話,コントロール,管轄 | pipe,tube,wind instrument,drunken talk,control,jurisdiction
7C21 (簡): 単純,簡潔 | simplicity,brevity
7DE9 (緩): 緩む,緩む,リラックス,減少させます,中程度であること,楽 | slacken,loosen,relax,lessen,be moderate,ease
7F36 (缶): 缶詰,コンテナ | tin can,container,jar radical (no. 121)
7FF0 (翰): 文字,筆 | letter,writing brush
809D (肝): 肝,摘む,神経,厚かましさ | liver,pluck,nerve,chutzpah
8266 (艦): 軍艦 | warship
839E (莞): にこやか,リードは畳をカバーするために使用されます | smiling,reed used to cover tatami
89B3 (観): 見通し,見ます,外観,調子,ビュー | outlook,look,appearance,condition,view
8ACC (諌): 戒める,説得 | admonish,dissuade
8CAB (貫): ピアス,8 1/3ポンド,浸透する,ブレース | pierce,8 1/3lbs,penetrate,brace
9084 (還): 送り返す,リターン | send back,return
9451 (鑑): 検体,鑑む,から学びます | specimen,take warning from,learn from
9593 (間): 間隔,スペース | interval,space
9591 (閑): 余暇 | leisure
95A2 (関): 接続,バリア,ゲートウェイ,巻き込む,について | connection,barrier,gateway,involve,concerning
9665 (陥): 崩壊,に落ちる,潰える,秋（城）,滑り込む | collapse,fall into,cave in,fall (castle),slide into
97D3 (韓): 韓国 | Korea
9928 (館): 建物,マンション,大きな建物,宮殿 | building,mansion,large building,palace
8218 (舘): マンション,大きな建物,宮殿 | mansion,large building,palace
4E38 (丸): 円形,フル（月）,完璧,-船,丸,丸める,巻き上げる,くるくるする,誘惑する,丸める | round,full (month),perfection,-ship,pills,make round,roll up,curl up,seduce,explain away
542B (含): 含む,含める,口の中に保持する,心に留め,わかる,大事にする | contain,include,hold in the mouth,bear in mind,understand,cherish
5CB8 (岸): ビーチ | beach
5DCC (巌): 岩,険しい岩山,玉石 | rock,crag,boulder
73A9 (玩): 遊びます,に喜びを感じます,で弄ん,のスポーツをする | play,take pleasure in,trifle with,make sport of
764C (癌): 癌,癌悪 | cancer,cancerous evil
773C (眼): 眼球 | eyeball
5CA9 (岩): 玉石,岩,崖 | boulder,rock,cliff
7FEB (翫): に喜びを感じます,楽器を演奏する | take pleasure in,play instrument
8D0B (贋): 偽造,偽造 | counterfeit,forgery
96C1 (雁): 雁 | wild goose
9811 (頑): 頑固な,愚かな,しっかりと | stubborn,foolish,firmly
9854 (顔): 面,表現 | face,expression
9858 (願): 請願,要求,誓い,希望,希望 | petition,request,vow,wish,hope
4F01 (企): undertale,スキーム,設計,試み,計画 | undertake,scheme,design,attempt,plan
4F0E (伎): 証書,技能 | deed,skill
5371 (危): 危険な,恐れ,不安な | dangerous,fear,uneasy
559C (喜): 喜びます,に喜びを感じます | rejoice,take pleasure in
5668 (器): 器具,容器,レセプタクル,実装する,楽器,能力,コンテナ,ツール,セット | utensil,vessel,receptacle,implement,instrument,ability,container,tool,set
57FA (基): ファンダメンタルズ,ラジカル（CHEM）,マシンのカウンタ,財団 | fundamentals,radical (chem),counter for machines,foundation
5947 (奇): 奇妙な,ストレンジネス,好奇心 | strange,strangeness,curiosity
5B09 (嬉): 嬉しい,喜んで,喜びます | glad,pleased,rejoice
5BC4 (寄): 近づく,で停止,近付けます,ギャザー,収集する,送信,フォワード | draw near,stop in,bring near,gather,collect,send,forward
5C90 (岐): 分岐する,道路の分岐点,シーン,アリーナ,劇場 | branch off,fork in road,scene,arena,theater
5E0C (希): 希望,頼む,要求,祈る,拝み倒する,ギリシャ,希薄（酸）,レア,少数,驚異的な | hope,beg,request,pray,beseech,Greece,dilute (acid),rare,few,phenomenal
5E7E (幾): 幾つ,いくら,どこまで,どのぐらいの間,一部,いくつかの | how many,how much,how far,how long,some,several
5FCC (忌): 喪,忌み嫌う,憎い,回忌 | mourning,abhor,detestable,death anniversary
63EE (揮): 振り回す,波,振る,スイング,振る | brandish,wave,wag,swing,shake
673A (机): 机,表 | desk,table
65D7 (旗): 国旗,バナー,標準 | national flag,banner,standard
65E2 (既): 以前に,既に,ずっと前に | previously,already,long ago
671F (期): 期間,時間,日付,期間 | period,time,date,term
68CB (棋): チェスの駒,将棋,将棋 | chess piece,Japanese chess,shogi
68C4 (棄): 放棄する,捨てる,捨てます,辞職する,拒否する,犠牲 | abandon,throw away,discard,resign,reject,sacrifice
6A5F (機): 織機,機構,機械,飛行機,機会,効力,効能,時 | loom,mechanism,machine,airplane,opportunity,potency,efficacy,occasion
5E30 (帰): 帰省,到着する,に導く,結果 | homecoming,arrive at,lead to,result in
6BC5 (毅): 強い | strong
6C17 (気): 精神,マインド,空気,雰囲気,気分 | spirit,mind,air,atmosphere,mood
6C7D (汽): 蒸気,蒸気 | vapor,steam
757F (畿): 資本,首都の郊外 | capital,suburbs of capital
7948 (祈): 祈る,希望 | pray,wish
5B63 (季): 季節 | seasons
7A00 (稀): レア,驚異的な,希薄（酸） | rare,phenomenal,dilute (acid)
7D00 (紀): クロニクル,アカウント,物語,歴史,年代記,地質時代 | chronicle,account,narrative,history,annals,geologic period
5FBD (徽): 良い,綺麗な,バッジ | good,beautiful,badge
898F (規): 標準,測定 | standard,measure
8A18 (記): 筆記,アカウント,物語 | scribe,account,narrative
8CB4 (貴): 貴重な,値,賞,尊敬,名誉 | precious,value,prize,esteem,honor
8D77 (起): ラウズ,目を覚ます,起きる | rouse,wake up,get up
8ECC (軌): マンネリ,ホイール,トラック,モデル,やりよう | rut,wheel,track,model,way of doing
8F1D (輝): 輝き,輝き,輝く,キラリと光る,きらめき | radiance,shine,sparkle,gleam,twinkle
98E2 (飢): 飢えました,飢える | hungry,starve
9A0E (騎): 馬術の,馬に乗って,equestriansためのカウンタ | equestrian,riding on horses,counter for equestrians
9B3C (鬼): 幽霊,悪魔 | ghost,devil
4E80 (亀): カメ,カメ | tortoise,turtle
507D (偽): 虚偽,うそ,欺く,装う,偽造,偽造 | falsehood,lie,deceive,pretend,counterfeit,forgery
5100 (儀): 式,ルール,事件,場合,問題 | ceremony,rule,affair,case,a matter
5993 (妓): ストレッチ,歌う女の子,芸者,売春婦 | stretch,singing girl,geisha,prostitute
5B9C (宜): 宜しくお願いする,良い | best regards,good
622F (戯): 戯れる,遊びます,スポーツ | frolic,play,sport
6280 (技): 技能,アート,クラフト,能力,業績,パフォーマンス,天職,芸術 | skill,art,craft,ability,feat,performance,vocation,arts
64EC (擬): ミミック,目的（銃）で,ノミネート,模倣する | mimic,aim (a gun) at,nominate,imitate
6B3A (欺): 詐欺,カンニング,惑わする | deceit,cheat,delude
72A0 (犠): 犠牲 | sacrifice
7591 (疑): 疑問に思う,不信,疑う,質問 | doubt,distrust,be suspicious,question
7947 (祇): 国や地方の神,穏やかな,すばらしい | national or local god,peaceful,great
7FA9 (義): 正義,正義,道徳,名誉,忠誠心,意味 | righteousness,justice,morality,honor,loyalty,meaning
87FB (蟻): 蟻 | ant
8ABC (誼): 友情,親密 | friendship,intimacy
8B70 (議): 審議,相談,ディベート,考慮 | deliberation,consultation,debate,consideration
63AC (掬): 手で水をすくう | scoop up water with the hand
83CA (菊): 菊 | chrysanthemum
97A0 (鞠): 玉 | ball
5409 (吉): がんばろう,喜び,おめでとうございます | good luck,joy,congratulations
5403 (吃): 口ごもる | stammer
55AB (喫): 消費する,食べる,ドリンク,煙,受信（ブロー） | consume,eat,drink,smoke,receive (a blow)
6854 (桔): 植物名に使用 | used in plant names
6A58 (橘): ミカン | mandarin orange
8A70 (詰): パックされました,閉じる,押し,たしなめる,叱責,非難 | packed,close,pressed,reprove,rebuke,blame
7827 (砧): 縮充ブロック | fulling block
6775 (杵): 擂粉木 | wooden pestle
9ECD (黍): キビ | millet
5374 (却): 代わりに,それどころか,むしろ,あとずさりする,撤退する,退却 | instead,on the contrary,rather,step back,withdraw,retreat
5BA2 (客): ゲスト,ビジター,顧客,クライアント | guest,visitor,customer,client
811A (脚): スキッド,脚,車台,下部,ベース | skids,leg,undercarriage,lower part,base
8650 (虐): しいたげる,虐げる | tyrannize,oppress
9006 (逆): 反転しました,逆,反対,邪悪 | inverted,reverse,opposite,wicked
4E18 (丘): 丘,小山 | hill,knoll
4E45 (久): 長い時間,昔話 | long time,old story
4EC7 (仇): 敵,敵,復讐,恨み,確執 | foe,enemy,revenge,grudge,feud
4F11 (休): 残り,休みの日,リタイア,睡眠 | rest,day off,retire,sleep
53CA (及): 手を伸ばす,発揮する,運動,原因 | reach out,exert,exercise,cause
5438 (吸): 吸う,吸収する,吸い込む,一口 | suck,imbibe,inhale,sip
5BAE (宮): 神社,星座,宮殿,王女 | Shinto shrine,constellations,palace,princess
5F13 (弓): 弓,弓（アーチェリー,バイオリン） | bow,bow (archery, violin)
6025 (急): 急ぐ,緊急,突然,急な | hurry,emergency,sudden,steep
6551 (救): 救い,セーブ,助けて,レスキュー,取り戻する | salvation,save,help,rescue,reclaim
673D (朽): 減衰,腐敗,隠遁に残る | decay,rot,remain in seclusion
6C42 (求): 要求,欲しい,望む,必要とする,デマンド | request,want,wish for,require,demand
6C72 (汲): ドロー（水）,ひしゃく,スクープ,ポンプ | draw (water),ladle,scoop,pump
6CE3 (泣): 泣く,泣く,うめき声 | cry,weep,moan
7078 (灸): 灸,せっかん | moxa cautery,chastisement
7403 (球): 玉,球 | ball,sphere
7A76 (究): 研究,調査 | research,study
7AAE (窮): 無一文,極貧の,苦しむ,当惑しました,角のある | hard up,destitute,suffer,perplexed,cornered
7B08 (笈): バックパックの本棚 | backpack bookcase
7D1A (級): クラス,ランク,グレード | class,rank,grade
7CFE (糾): ねじれ,頼む,調査する,確認する | twist,ask,investigate,verify
7D66 (給): 給料,賃金,贈り物,許可する,付与,上授けます | salary,wage,gift,allow,grant,bestow on
65E7 (旧): 昔,昔の事,古くからの友人,前者,EX- | old times,old things,old friend,former,ex-
725B (牛): 牛 | cow
53BB (去): ゴーン,過去,やめる,残する,経過,取り除く,離婚 | gone,past,quit,leave,elapse,eliminate,divorce
5C45 (居): 住む,することが,存在する,一緒に暮らする | reside,to be,exist,live with
5DE8 (巨): 巨大,大きい,大,すばらしい | gigantic,big,large,great
62D2 (拒): はじく,ごみ,拒否する,低下 | repel,refuse,reject,decline
62E0 (拠): 足場,に基づく,続く,従って | foothold,based on,follow,therefore
6319 (挙): レイズ,計画,プロジェクト,動作,行動 | raise,plan,project,behavior,actions
6E20 (渠): 溝,運河,ロック | ditch,canal,lock
865A (虚): ボイド,空虚,unpreparedness,亀裂,亀裂,虚偽 | void,emptiness,unpreparedness,crack,fissure,untruth
8A31 (許): 許可,承認する | permit,approve
8DDD (距): 長距離,拍車,球節 | long-distance,spur,fetlock
92F8 (鋸): のこぎり（木材をカット） | saw (cuts wood)
6F01 (漁): 釣り,漁業 | fishing,fishery
79A6 (禦): 守る,守る,抵抗する,追い払う | defend,protect,resist,ward off
9B5A (魚): 魚 | fish
4EA8 (亨): 通過する,順調に進む | pass through,go smoothly
4EAB (享): 楽しむ,受け取る,受けます,答えは（電話）,取る,取得する,キャッチ | enjoy,receive,undergo,answer (phone),take,get,catch
4EAC (京): 資本,10 ** 16 | capital,10**16
4F9B (供): 提出する,提供,現在,サーブ（食事）,同行する | submit,offer,present,serve (meal),accompany
4FA0 (侠): おてんば娘,騎士道 | tomboy,chivalry
50D1 (僑): 仮設住宅 | temporary home
5147 (兇): 邪悪 | wickedness
7AF6 (競): エミュレート,と競争する,入札,競る,試合,コンテスト,レース | emulate,compete with,bid,sell at auction,bout,contest,race
5171 (共): 一緒に,どちらも,どちらもありません,すべて,そして,同様に,とともに | together,both,neither,all,and,alike,with
51F6 (凶): 悪役,悪の,不運,災害 | villain,evil,bad luck,disaster
5354 (協): コ,協力 | co-,cooperation
5321 (匡): 正しい,セーブ,支援する | correct,save,assist
537F (卿): 君は,主,秘書,卿 | you,lord,secretary,state minister
53EB (叫): シャウト,叫ぶ,エール | shout,exclaim,yell
55AC (喬): 高い,豪語 | high,boasting
5883 (境): 境界,境界,領域 | boundary,border,region
5CE1 (峡): 渓谷,渓谷 | gorge,ravine
5F37 (強): 強い | strong
5F4A (彊): 強い | strong
602F (怯): 臆病,ひるみ,尻込み,ためらう,迷う | cowardice,wince,flinch,hesitate,waver
6050 (恐): 恐れ,恐怖,畏敬の念 | fear,dread,awe
606D (恭): 尊敬,うやうやしい | respect,reverent
631F (挟): ピンチ,の間に | pinch,between
6559 (教): 教える,信仰,教義 | teach,faith,doctrine
6A4B (橋): ブリッジ | bridge
6CC1 (況): 調子,状況 | condition,situation
72C2 (狂): 狂人,非常識な,クレイジー,混乱させる | lunatic,insane,crazy,confuse
